Sphera Model Description,Pkg Type,Lead Count,Mass,Pkg Size,Family,Node,Power dissipation (max),DigiKey (soq),DigiKey (TR1500 or 1000),Arrow (soq),Arrow (1500),Mouser (soq),Mouser (1500),Rochester (1000),Avnet (1000),Avg Cost,Min Cost
GLO: IC SO 20 (530mg) 12.8x7.5 mm CMOS logic (90 nm node) Sphera,SO,20,530.0,12.8x7.5mm,CMOS logic,90.0,588.8,1.31,,,0.39,1.1,0.498,0.4,,0.7396,0.39
GLO: IC SSOP 14 (120mg) 6.0x5.3x1.75 [based on models 2004-2014] Sphera,SSOP,14,120.0,6.0x5.3x1.75mm,Unknown,,810.0,1.91,0.938,1.33,1.33,,0.864,0.77,,1.190333333,0.77
GLO: IC SSOP 24 (123mg) 8.2x5.3 mm CMOS logic (65 nm node) Sphera,SSOP,24,123.0,8.2x5.3mm,CMOS logic,65.0,650.0,1.61,0.79,1.59,0.76,1.64,0.8,,,1.198333333,0.76
GLO: IC SSOP 24 (210mg) 8.2x5.3x1.75 [based on models 2004-2014] Sphera,SSOP,24,210.0,8.2x5.3x1.75mm,Unknown,,500.0,69.9,,,,,,60.0,58.08,62.66,58.08
GLO: IC SSOP 64 (340mg) 26x10.2x1.75 [based on models 2004-2014] Sphera,SSOP,64,340.0,26x10.2x1.75mm,Unknown,,,,,,,,,,,,
GLO: IC TQFP 100 (513mg) 14x14 mm MPU generic (130 nm node) Sphera,TQFP,100,513.0,14x14mm,MPU generic,130.0,,,,,,,,,,,
GLO: IC TQFP 100 (520mg) 14x14x1.0 [based on models 2004-2014] Sphera,TQFP,100,520.0,14x14x1.0mm,Unknown,,328.3,115.58,,101.45,,114.98,,86.39,,104.6,86.39
GLO: IC TQFP 32 (146mg) 5x5 mm MPU generic (130 nm node) Sphera,TQFP,32,146.0,5x5mm,MPU generic,130.0,,,,,,,,,,,
GLO: IC TQFP 32 (70mg) 5x5x1.0 [based on models 2004-2014] Sphera,TQFP,32,70.0,5x5x1.0mm,Unknown,,325.0,8.4,,9.26,9.11,16.42,10.81,9.41,,10.56833333,8.4
GLO: IC TQFP 44 (260mg) 10x10x1.0 [based on models 2004-2014] Sphera,TQFP,44,260.0,10x10x1.0mm,Unknown,,439.0,44.19,,35.63,,41.31,,28.6,,37.4325,28.6
GLO: IC TQFP 44 (272mg) 10x10 mm MPU generic (130 nm node) Sphera,TQFP,44,272.0,10x10mm,MPU generic,130.0,,,,,,,,,,,
GLO: IC TSOP 28 (215mg) 8x13.4x1.2 DRAM [based on models 2004-2014] Sphera,TSOP,28,215.0,8x13.4x1.2mm,DRAM,,,,,,,,,,,,
